sentence,label
فابن خالي الصغير يذهب إلى هناك أما أنا فلا أذهب إلى هناك,1
أوضح الدكتور حسام عبد الغفار أن المشروع يهدف إلى حفظ صور الأشعة الخاصة بالمرضى لإمكانية الرجوع إليها في أي وقت.,0
في 1963 حصل على شهادة الإجازة من كلية الآداب في جامعة الرباط، قبل أن يتخرج في العام نفسه من المدرسة العليا للأساتذة.,0
فهناك احتمال بأنك تحمل رقماً فائزاً من نوعٍ آخر في جيبك دون أن تدري، ولكن كيف تحمل رقماً فائزاً من نوعٍ آخر في جيبك دون أن تدري؟,1
هي التي يجب أن تسود العالم ، ولكن متى ؟,1
يجب أن نضع الكتب بعد قراءتها على الرفوف.,1
"قال لي: ""أمي تضربني لأن أختي ادخرت مالاً كثيرًا من التسول""، أما أنا فلا.",1
الملابس والمستلزمات الشخصية.,1
النوادل في المطاعم يقدمون خدمة ممتازة والنوادل يأتون بالطلبات بسرعة.,1
في كل الأوقات.,1
تتوقع هيئة الأرصاد الجوية أن يشهد اليوم الإثنين طقس حار نهاراً على القاهرة الكبرى.,0
من قام بهذا الفعل لديه أصحاب يشاركونه قناعته، فاذهب إليهم والتمس منهم الاعتذار، أما مني فلا تطلب الاعتذار.,1
قرأت فى الثانية عشر كتابا عن شوبنهاور وآخر عن أديناور أول مستشار لجمهورية ألمانيا الاتحادية,1
الابتسامة الحقيقية تكون تجاعيد حول العينين، أما الابتسامة المفتعلة فلا تكون تجاعيد حول العينين.,1
الديناصورات هي الزواحف الضخمة التي عاشت في العصور القديمة.,0
وفي ذات الوقت كان موقف المستشفى سلبي وكذلك الطبيب.,1
أنا أشرب العصير وهي الماء,1
أتعلم ياعادل أريد أن أكون من أنصاره ؛ ؛ ولكن كيف أكون من أنصاره؟,1
هم يحبون كرة القدم ونحن نحب كرة السلة,0
أنا ألعب البيانو وهو الجيتار,1
إن عض الأظافر يؤذي الأظافر نفسها وكذلك الأسنان.,1
أظن أن طوفان المخدرات مسئول بالدرجة الأولى عن الدوافع التى تقف وراء معظم الجرائم الوافدة على مجتمعنا.,0
بالحد من الاستهلاك.,1
زيادة الاحتياطي الأجنبي من العملات الدولية يتكرر للشهر الرابع عشر على التوالي.,0
ربما قبل عقود من الزمان كان بالإمكان إخفاء الكثير من الممارسات، أما الآن فلا يمكن إخفاؤها.,1
بتقليل استخدام الكلمات العابرة.,0
أنا متأكدة وواثقة بأن ريو سيفوز عليه ولكن كيف ؟,1
الأدب الفرنسي يزخر بالمؤلفين الكبار والأدب الفرنسي يؤثر في الأدب العالمي.,1
ففي العادة كل سنة أتذكّر بعض المواقف التي كنتُ أفعلُها في الماضي وأحاول نسيانها، أما هذه السنة فلا أتذكر مواقف.,0
طلبنا منهم أن يكونوا جزءاً من لجنة الحوار لكنهم رفضوا.,1
أنا أقرأ الكتب وهي الجرائد,1
يأتي ذلك بينما أعلن البنك المركزي، في وقت سابق اليوم، عن ارتفاع الاحتياطي 131 مليون دولار.,0
الفعاليات الثقافية تثري الحياة الاجتماعية والفعاليات الثقافية تعزز من التفاهم المجتمعي.,1
الثقة,0
الطقس اليومي يتغير والطقس اليومي يؤثر على نشاطاتنا.,0
اللون الثالث في علم الألوان الثانوي هو الأرجواني.,0
هل يمكن ذلك عن طريق أى جامعة أجنبية أو عربية و كيف يمكن ذلك؟,1
لم يُحاكَم أي أحد. واليوم يستمر الجلّادون، وكذلك يستمر رؤساؤهم.,1
أما في حالة الموظفين الذين لا يملكون أي تغطية تأمينية من ذوي الأعمال يتم الحصول على خدمات تأمينية للموظفين وكذلك عائلتهم.,1
الاقتصاد الصحيح يعزز الاستقرار والاقتصاد الصحيح يدعم النمو المستدام.,1
المحيط الهادئ,0
البطاقات الائتمانية والحسابات البنكية.,1
"تلك التدوينة أثارت قلق العديد من متابعيه على ""إنستغرام"" وبدأوا يسألونه إذا كان بخير.",1
الاستناد إلى التقدم المحرز في الدورات السابقة للجمعية العامة للجمعية العامة وكذلك إلى القرارات السابقة,1
نساهم في الحفاظ على التنوع البيولوجي بالمحافظة على النباتات والحيوانات.,0
توفي الناقد الجزائري والباحث الجزائري عبد الملك مرتاض عن عمر يناهز 88 عاما يوم الجمعة الماضي بعد صراع طويل مع المرض.,0
لن تستطيع مملكة الشر أن تقلل من قيمة السوريين مهما حاولت.,0
بالمحافظة على الطبيعة.,1
نجد الكتب المفيدة في المكتبة أو المعرض.,1
الكاميرات والعدسات.,0
لم يُحاكَم أي أحد. واليوم يستمر الجلّادون، وكذلك رؤساؤهم.,1
علي لا يقدر أن يأتي إلى الحفلة، ولكن عمر يقدر أن يأتي إلى الحفلة,1
هادريان هو الإمبراطور الروماني الذي بنى الجدار الحدودي في بريطانيا.,0
القوانين الدولية تضمن حقوق الإنسان والقوانين الدولية تحمي السيادة الوطنية.,1
بسقيها بانتظام.,1
فبادرني بالقول: سنصبح عائلة واحدة، فأجبته:;كيف ؟,1
الفنون التشكيلية تعكس موهبة الفنانين والفنون التشكيلية تعزز من التعبير الإبداعي.,1
الإسبانية,0
نستخدم وسائل النقل العام للتنقل داخل المدينة.,0
ولا تعتكف إلا إذا أمنت الفتنة، أما إذا لم تأمن الفتنة فلا.,1
يمكننا تعزيز التسامح واحترام الاختلاف بالتعرف على الثقافات المختلفة.,0
السينما المستقلة تمنح المخرجين الفرصة للتعبير عن رؤيتهم الفنية.,0
قال السنوسي إنه في جلسات الاتهام طلب من القاضي أن يراجع الشهادات المقدمة بحقه لكنه رفض أن يراجع الشهادات المقدمة بحقه.,1
هل أنت فعلا أم ناصر أم هذا مجرد لقب؟ كيف تم التشخيص بالتوحد و أين ؟,0
والذي لا ترضيه السنة فلا أرضاه الله، السنة تتبع ولكن ما زاد عليها فلا.,1
ولا بد من منع مثل هذه الكارثة، ولكن كيف نمنع هذه الكارثة؟,1
حاولت بكل الطرق أن اجعله يبدو مشرقا و جميلا و لكنني نسيت أن اجعله يبدو مشرقا و جميلا.,1
