sentence,label
فنحن نحتاج إلى التفكير في كيفية التقليل من هذه التكاليف ، ولكن كيف ؟,فنحن نحتاج إلى التفكير في كيفية التقليل من هذه التكاليف ، ولكن كيف ___ ؟
نبوخذنزر,نبوخذنزر
صاح أصدقائي عندئذ: بلى ، نخفّف آلامه ، ونشاركه أحزانه ، ونحاول أن ندخل الفرحة في القلوب البائسة . ولكن كيف ؟,صاح أصدقائي عندئذ: بلى ، نخفّف آلامه ، ونشاركه أحزانه ، ونحاول أن ندخل الفرحة في القلوب البائسة . ولكن كيف ___ ؟
لو كان لديك آلة زمن أي زمن ستختارين و لماذا ؟,لو كان لديك آلة زمن أي زمن ستختارين ___ و لماذا ؟
الأرجواني,الأرجواني
في أي سنة تم انعقاد الاجتماع الأول لدول الخليج العربية؟ و أين ؟,في أي سنة تم انعقاد الاجتماع الأول لدول الخليج العربية؟ و أين ___؟
الأردن تشتهر بالمنسف والمغرب بالكسكس,الأردن تشتهر بالمنسف والمغرب ___ بالكسكس
ولدينا قناعة بأن الكل سيعترف بفلسطين، ولكن متى ؟,ولدينا قناعة بأن الكل سيعترف بفلسطين، ولكن متى ___؟
فالإمام عليه مسؤولية وتبعات، ومؤذن المسجد والمصلون كذلك.,فالإمام عليه مسؤولية وتبعات، ومؤذن المسجد والمصلون ___ كذلك.
لم أنم جيدا منذ شهور!! كما أن معدتي تؤلمني جدا وظهري أيضا.,لم أنم جيدا منذ شهور!! كما أن معدتي تؤلمني جدا وظهري ___ أيضا.
ما يكشف عن غرابة وندرة وضع جايسون وكذلك اختلافه.,ما يكشف عن غرابة وندرة وضع جايسون وكذلك ___ اختلافه.
متابعة يومية لأحدث الانباء والتقارير والاحداث وكذلك أخبار مصر في الصحف المصرية,متابعة يومية لأحدث الانباء والتقارير والاحداث وكذلك ___ أخبار مصر في الصحف المصرية
وفي مجال إدارة الطاقة مقال عن نظم الإنارة العالية الكفاءة، و آخر عن مصادر الطاقة الحيوية في لبنان,وفي مجال إدارة الطاقة مقال عن نظم الإنارة العالية الكفاءة، و ___ آخر عن مصادر الطاقة الحيوية في لبنان
الثعبان,الثعبان
الفرح,الفرح
صدرت تصريحات عن المسؤولين في الحكومة اليمنية وأخرى عن جماعة أنصار الله,صدرت تصريحات عن المسؤولين في الحكومة اليمنية وأخرى ___ عن جماعة أنصار الله
للوقاية من الأمراض.,للوقاية ___ من الأمراض.
حقق النجاح المطلوب إذ أن الجرافكس أصبحت أفضل والتحكم أيضا.,حقق النجاح المطلوب إذ أن الجرافكس أصبحت أفضل والتحكم ___ أيضا.
أفضت إلى كشف عمليات احتيالية تظهر وجود المواد الغذائية ولكن فقط على الورق، أما على أرض الواقع فلا.,أفضت إلى كشف عمليات احتيالية تظهر وجود المواد الغذائية ولكن فقط على الورق، أما على أرض الواقع فلا ___.
