sentence,label
و ما هو سبب ظهور الأشياء المحرمة و المحظورات و هل تختلف المحظورات من منطقة لأخرى؟ و لماذا ؟,و ما هو سبب ظهور الأشياء المحرمة و المحظورات، و هل تختلف المحظورات من منطقة لأخرى، و لماذا تختلف المحظورات من منطقة لأخرى؟
المصابيح أو الشموع.,المصابيح أُوقدت أو الشموع أُوقدت.
لسماع حكمة جديدة كل يوم وأخرى عن عالمات الفلك والنجوم,لسماع حكمة جديدة كل يوم ولسماع أخرى عن عالمات الفلك والنجوم
فيما أكمل قائمة الفائزين فائزٌ من ألمانيا و آخر من باكستان.,فيما أكمل قائمة الفائزين فائزٌ من ألمانيا و أكمل قائمة الفائزين آخر من باكستان.
الأخلاق,الأخلاق (ليست موجودة)
النيل,النيل
أنا أسافر إلى باريس وهم إلى لندن,أنا أسافر إلى باريس وهم يسافرون إلى لندن
الديناصورات,الديناصورات (لا يوجد جملة فيها إضمار أو حذف هنا)
أنا متأكدة وواثقة بأن ريو سيفوز عليه ولكن كيف ؟,أنا متأكدة وواثقة بأن ريو سيفوز عليه ولكن كيف سيفوز عليه ريو؟
نعم السودان يمكنه أن يحقق طفرات ولكن كيف ؟,نعم السودان يمكنه أن يحقق طفرات ولكن كيف يمكنه أن يحقق طفرات؟
الفرح,الفرح (لا توجد جملة تامة أو حذف في هذا المثال)
الشمس,الشمس
فالرجل يستطيع أن يطلب من صديقه كوباً من الماء وعوناً مالياً أيضاً، أما زوجته فلا.,فالرجل يستطيع أن يطلب من صديقه كوباً من الماء وعوناً مالياً أيضاً، أما زوجته فلا تستطيع أن تطلب من صديقه كوباً من الماء وعوناً مالياً أيضاً.
لاحظت أن بعض المراحل لا يوجد فيها تعليق من ويسكر ولكن لماذا ؟,لاحظت أن بعض المراحل لا يوجد فيها تعليق من ويسكر ولكن لماذا لا يوجد فيها تعليق من ويسكر؟
في الأعياد الوطنية.,في الأعياد الوطنية يُحتفل بها.
وهؤلاء يؤمنون بالقرآن فقط ولكن السنة فلا,وهؤلاء يؤمنون بالقرآن فقط ولكن السنة فلا يؤمنون بها.
الذوبان,الذوبان حدث
قيصر تشين,قيصر يحب تشين.
الأصفر,الأصفر هو اللون المفضل لدي
