sentence,label
و ما هو سبب ظهور الأشياء المحرمة و المحظورات و هل تختلف المحظورات من منطقة لأخرى؟ و لماذا ؟,و ما هو سبب ظهور الأشياء المحرمة و المحظورات و هل تختلف المحظورات من منطقة لأخرى؟ و لماذا تختلف المحظورات من منطقة لأخرى؟
المصابيح أو الشموع.,المصابيح أو الشموع.
لسماع حكمة جديدة كل يوم وأخرى عن عالمات الفلك والنجوم,لسماع حكمة جديدة كل يوم ولسماع أخرى عن عالمات الفلك والنجوم
فيما أكمل قائمة الفائزين فائزٌ من ألمانيا و آخر من باكستان.,فيما أكمل قائمة الفائزين فائزٌ من ألمانيا و آخر [أكمل قائمة الفائزين] من باكستان.
الأخلاق,الأخلاق
النيل,النيل
أنا أسافر إلى باريس وهم إلى لندن,أنا أسافر إلى باريس وهم يسافرون إلى لندن
الديناصورات,الديناصورات
أنا متأكدة وواثقة بأن ريو سيفوز عليه ولكن كيف ؟,أنا متأكدة وواثقة بأن ريو سيفوز عليه ولكن كيف سيفوز ريو عليه؟
نعم السودان يمكنه أن يحقق طفرات ولكن كيف ؟,نعم السودان يمكنه أن يحقق طفرات ولكن كيف يمكنه أن يحقق طفرات؟
الفرح,الفرح
الشمس,الشمس
فالرجل يستطيع أن يطلب من صديقه كوباً من الماء وعوناً مالياً أيضاً، أما زوجته فلا.,فالرجل يستطيع أن يطلب من صديقه كوباً من الماء وعوناً مالياً أيضاً، أما زوجته فلا تستطيع أن تطلب من صديقه كوباً من الماء وعوناً مالياً أيضاً.
لاحظت أن بعض المراحل لا يوجد فيها تعليق من ويسكر ولكن لماذا ؟,لاحظت أن بعض المراحل لا يوجد فيها تعليق من ويسكر ولكن لا أعلم لماذا لا يوجد فيها تعليق من ويسكر؟
في الأعياد الوطنية.,في الأعياد الوطنية.
وهؤلاء يؤمنون بالقرآن فقط ولكن السنة فلا,وهؤلاء يؤمنون بالقرآن فقط ولكن السنة فلا يؤمنون بها
الذوبان,الذوبان
قيصر تشين,قيصر تشين
الأصفر,الأصفر
تحدثنا بإيجاز عن توجيه دعوات إلى عمان والسودان والمغرب والسلطة الفلسطينية ربما، وكذلك إلى المملكة العربية السعودية والأردن,تحدثنا بإيجاز عن توجيه دعوات إلى عمان والسودان والمغرب والسلطة الفلسطينية ربما، وكذلك تحدثنا بإيجاز عن توجيه دعوات إلى المملكة العربية السعودية والأردن
جورج واشنطن وتوماس جيفرسون,جورج واشنطن رئيس وتوماس جيفرسون رئيس
بالسقاية والتسميد.,على سبيل المثال، اعتنى أحمد بالنباتات بالسقاية والتسميد.
الحزن,الحزن
كل شيء مزيف يمكن التحكم به... الزواج يمكن التحكم به، أما الحب فلا.,كل شيء مزيف يمكن التحكم به... الزواج يمكن التحكم به، أما الحب فلا يمكن التحكم به.
وللمفاجأة كانت الطائرة سليمة وكذلك مدافعها.,وللمفاجأة كانت الطائرة سليمة وكذلك كانت مدافعها سليمة.
وسجل رونالدو هدفاً من ركلة جزاء و آخر من ركلة حرة.,وسجل رونالدو هدفاً من ركلة جزاء و سجل رونالدو هدفاً آخر من ركلة حرة.
هم يستطيعون أن ينجحوا في الامتحان، ونحن كذلك,هم يستطيعون أن ينجحوا في الامتحان، ونحن نستطيع أن ننجح في الامتحان كذلك
متى أخذت القرار بأن تصبح مصمم للألعاب، ولماذا ؟,متى أخذت القرار بأن تصبح مصمم للألعاب، ولماذا أخذت القرار بأن تصبح مصمم للألعاب ؟
نيوتون,نيوتون
بتقديم المساعدة في المهام اليومية.,بتقديم المساعدة في المهام اليومية.
أحيانا تلجا الغربان لقتل بعضها! ولكن لماذا ؟,أحيانا تلجا الغربان لقتل بعضها! ولكن لماذا تلجا الغربان لقتل بعضها ؟
بالمحافظة على الطبيعة.,بالمحافظة على الطبيعة.
دواء يستخدم في حالات ارتفاع ضغط الدم وكذلك حالات فشل القلب,دواء يستخدم في حالات ارتفاع ضغط الدم وكذلك يستخدم في حالات فشل القلب
لم أقتنع برواية أخي وأردت منه أن يعطي الهاتف لأبي ليطمئن قلبي أكثر لكنه رفض.,لم أقتنع برواية أخي وأردت منه أن يعطي الهاتف لأبي ليطمئن قلبي أكثر لكنه رفض أن يعطي الهاتف لأبي.
بانتظار الضوء الأخضر.,بانتظار الضوء الأخضر ليضيء.
في الأعياد.,أنا سعيد في الأعياد وأنت سعيد في الأعياد.
"هل من مرةَ شعرتَ بأنك شخصَ "" فاشل "" ومتى ؟","هل من مرةَ شعرتَ بأنك شخصَ "" فاشل "" ومتى شعرتَ بذلك؟"
ولا يخفي عليكم بأنها منطقة عشوائية وأخي الأكبر متزوج ويسكن بنفس العقار والأصغر كذلك.,ولا يخفي عليكم بأنها منطقة عشوائية وأخي الأكبر متزوج ويسكن بنفس العقار والأصغر كذلك متزوج ويسكن بنفس العقار.
أنا ألعب الشطرنج وهو بنك الحظ,أنا ألعب الشطرنج وهو يلعب بنك الحظ
في البنك أو المحفظة الإلكترونية.,في البنك أو في المحفظة الإلكترونية.
هل من الممكن نقل البيض إلى حوض آخر؟ و كيف ؟,هل من الممكن نقل البيض إلى حوض آخر؟ و كيف يمكن نقل البيض إلى حوض آخر؟
كل فتاة تختلف عن الأخرى بمقياس الألم، فمن الممكن أن تشعر إحداهن بالألم، أما الأخرى فلا.,كل فتاة تختلف عن الأخرى بمقياس الألم، فمن الممكن أن تشعر إحداهن بالألم، أما الأخرى فلا تشعر بالألم.
شاهدنا مسرحية ماكبث في مسرح الجامعة و الفيلم في السينما.,شاهدنا مسرحية ماكبث في مسرح الجامعة و شاهدنا الفيلم في السينما.
ربما لو قالها الشوكر نتقبلها منه ولكن من حزب محافظ فلا.,ربما لو قالها الشوكر نتقبلها منه ولكن من حزب محافظ فلا نتقبلها.
أعزب,أعزب
أنا أحب الشوكولاتة وهي الفانيليا,أنا أحب الشوكولاتة وهي تحب الفانيليا
على الرغم من أننا قادرون على أن نصل إلى دوري الأضواء ، ولكن متى ؟,على الرغم من أننا قادرون على أن نصل إلى دوري الأضواء ، ولكن متى سنصل إلى دوري الأضواء ؟
وكان يقدمها لنا أستاذ في الأدب العربي، مع العلم أنه لا يعرفني وأنا كذلك.,وكان يقدمها لنا أستاذ في الأدب العربي، مع العلم أنه لا يعرفني وأنا كذلك لا أعرفه.
أقنعها بأن العلم شيء نبيل والزواج كذلك.,أقنعها بأن العلم شيء نبيل والزواج شيء نبيل كذلك.
والرجل يهتدي لمسؤولياته كرجل بفطرته السوية، وكذلك المرأة.,والرجل يهتدي لمسؤولياته كرجل بفطرته السوية، وكذلك المرأة تهتدي لمسؤولياتها كامرأة بفطرتها السوية.
القرض المحرم هو الذي يستغل حاجة الناس، أما البنك فلا.,القرض المحرم هو الذي يستغل حاجة الناس، أما البنك فلا يستغل حاجة الناس.
ولا بد من منع مثل هذه الكارثة، ولكن كيف ؟,ولا بد من منع مثل هذه الكارثة، ولكن كيف يمكن منع مثل هذه الكارثة؟
بالتخلص من النفايات بشكل صحيح.,بالتخلص من النفايات بشكل صحيح.
أعلن مسؤول تركي رفيع المستوى من دون الكشف عن اسمه، الإثنين، أن السعودية أرسلت خبيراً في علم السموم، و آخر في الكيمياء لإخفاء الأدلة في جريمة قتل خاشقجي.,أعلن مسؤول تركي رفيع المستوى من دون الكشف عن اسمه، الإثنين، أن السعودية أرسلت خبيراً في علم السموم، و أرسلت آخر في الكيمياء لإخفاء الأدلة في جريمة قتل خاشقجي.
في الشركات والمؤسسات.,في الشركات والمؤسسات.
في الحدائق والملاعب.,في الحدائق والملاعب.
ومن بعدها سيأتي ناد من كولومبيا و آخر من تشيلي والأرجنتين.,ومن بعدها سيأتي ناد من كولومبيا و سيأتي ناد آخر من تشيلي وسيأتي ناد آخر من الأرجنتين.
بالترشيد والتوفير.,بالترشيد والتوفير.
أنا أشاهد الأفلام الأكشن وهم الأفلام الكوميدية,أنا أشاهد الأفلام الأكشن وهم يشاهدون الأفلام الكوميدية
نحن ذاهبون للتسوق وهم للمطعم,نحن ذاهبون للتسوق وهم ذاهبون للمطعم
كنت دائماً أتحدث كثيرا فى هاتفى مع صديقاتى اتحدث معهم عن الجميع ولكن الآن فلا,كنت دائماً أتحدث كثيرا فى هاتفى مع صديقاتى اتحدث معهم عن الجميع ولكن الآن فلا أتحدث معهم عن الجميع
ستقام المباراة النهائية على أرض محايدة في حالة تأهل فريق من مصر و آخر من المغرب من نصف النهائي.,ستقام المباراة النهائية على أرض محايدة في حالة تأهل فريق من مصر و تأهل فريق آخر من المغرب من نصف النهائي.
هل تعتبر نفسك محظوظ و لماذا ؟,هل تعتبر نفسك محظوظ و لماذا تعتبر نفسك محظوظ؟
هم يزورون الشواطئ ونحن الجبال,هم يزورون الشواطئ ونحن نزور الجبال
هي ظاهرة انتشرت في مجتمعنا في السنوات القليلة الأخيرة. كيف و لما ؟,هي ظاهرة انتشرت في مجتمعنا في السنوات القليلة الأخيرة. كيف انتشرت و لما انتشرت؟
لكن متى يمكنني سحب أموالي و كيف ؟,لكن متى يمكنني سحب أموالي و كيف يمكنني سحب أموالي ؟
أنا أقرأ الكتب وهو المجلات,أنا أقرأ الكتب وهو يقرأ المجلات
التسامح يطيل العمر، فأطول الناس أعماراً هم أكثرهم تسامحاً ولكن لماذا ؟,التسامح يطيل العمر، فأطول الناس أعماراً هم أكثرهم تسامحاً ولكن لماذا يطيل التسامح العمر؟
بالاهتمام والاحترام.,بالاهتمام والاحترام.
بمشاركة السيارات أو استخدام وسائل النقل العامة.,بمشاركة السيارات أو بمشاركة استخدام وسائل النقل العامة.
إن عض الأظافر يؤذي الأظافر نفسها وكذلك الأسنان.,إن عض الأظافر يؤذي الأظافر نفسها وكذلك يؤذي الأسنان.
أوصلت صديقي إلى منزله و أختي إلى عملها,أوصلت صديقي إلى منزله و أوصلت أختي إلى عملها
لا تنقل أشخاص لا تعرفهم في سيارتك فالزمن لا يرحم والقانون أيضا.,لا تنقل أشخاص لا تعرفهم في سيارتك فالزمن لا يرحم والقانون لا يرحم أيضا.
آسيا,آسيا
أنا أحب البرتقال وهي التفاح,أنا أحب البرتقال وهي تحب التفاح
اتفقنا أن نسافر إلى السعودية بالطائرة وهو بالباخرة,اتفقنا أن نسافر إلى السعودية بالطائرة وهو اتفق أن يسافر إلى السعودية بالباخرة
وفي ذات الوقت كان موقف المستشفى سلبي وكذلك الطبيب.,وفي ذات الوقت كان موقف المستشفى سلبي وكذلك كان موقف الطبيب سلبي.
الأرجواني,الأرجواني
"فيما أن هناك أسيرا مضربا في سجن النقب ، و آخر في سجن "" هداريم "".","فيما أن هناك أسيرا مضربا في سجن النقب ، و آخر مضربا في سجن "" هداريم ""."
كانت المنطقة تعيش حالة من الفقر، وكذلك الناس ؛ حيث لا شوارع معبدة ولا كهرباء.,كانت المنطقة تعيش حالة من الفقر، وكذلك كانت الناس تعيش حالة من الفقر؛ حيث لا توجد شوارع معبدة ولا توجد كهرباء.
أحب من الأسماء ما شابه اسمها ووافقه,أحب من الأسماء ما شابه اسمها ووافقه اسمها
ليوناردو دافنشي,ليوناردو دافنشي
الأوكسجين,الأوكسجين
الدقيق,الدقيق
بإعادة التدوير.,بإعادة التدوير.
كما يستعرض المجلس تقريراً عن السياسة الخارجية المصرية و آخر عن نتائج جولة رئيس الوزارء لعدد من المواقع,كما يستعرض المجلس تقريراً عن السياسة الخارجية المصرية و يستعرض المجلس تقريراً آخر عن نتائج جولة رئيس الوزارء لعدد من المواقع
هل تؤيد قيادة المرأة للسيارة و لماذا ؟,هل تؤيد قيادة المرأة للسيارة و هل تؤيد لماذا تؤيد قيادة المرأة للسيارة؟
الابتسامة الحقيقية تكون تجاعيد حول العينين، أما الابتسامة المفتعلة فلا.,الابتسامة الحقيقية تكون تجاعيد حول العينين، أما الابتسامة المفتعلة فلا تكون تجاعيد حول العينين.
في دور السينما.,في دور السينما.
المواطنون غير راضون عن استيراد السيارات المستعملة التي يقل عمرها عن ثلاث سنوات ونحن أيضا.,المواطنون غير راضون عن استيراد السيارات المستعملة التي يقل عمرها عن ثلاث سنوات ونحن غير راضون عن استيراد السيارات المستعملة التي يقل عمرها عن ثلاث سنوات أيضا.
بحل النزاعات.,هو يحل النزاعات.
وإن تعددت الروايات من حولها فلا بد أن يأتي ذلك اليوم، ولكن متى ؟,وإن تعددت الروايات من حولها فلا بد أن يأتي ذلك اليوم، ولكن متى يأتي ذلك اليوم؟
في الكتب والإنترنت.,في الكتب والإنترنت.
بعد نصف ساعة.,بعد نصف ساعة.
فلن يتيسر لأية قيادة ولأية دكتاتورية أخرى أن تمارس هذا النهج، مهما حاولت.,فلن يتيسر لأية قيادة ولأية دكتاتورية أخرى أن تمارس هذا النهج، مهما حاولت أن تمارس هذا النهج.
لا يمكن الإدلاء بالرأي حتى تتكشف خيوط هذي العملية الإرهابية حتى يمكن القول لماذا مثل هذه العمل حدث و كيف ؟,لا يمكن الإدلاء بالرأي حتى تتكشف خيوط هذي العملية الإرهابية حتى يمكن القول لماذا مثل هذه العمل حدث و كيف حدث؟
وقد جرى اصطياد بعضها بالبنادق وأخرى عن طريق الفخ والشبكة,وقد جرى اصطياد بعضها بالبنادق وأخرى عن طريق الفخ والشبكة
فابن خالي الصغير يذهب إلى هناك أما أنا فلا,فابن خالي الصغير يذهب إلى هناك أما أنا فلا أذهب إلى هناك
أنا أسافر إلى روما وهم إلى مدريد,أنا أسافر إلى روما وهم يسافرون إلى مدريد
لا تزال هنالك أسئلة يصعب الإجابة عنها، ولكن لماذا ؟,لا تزال هنالك أسئلة يصعب الإجابة عنها، ولكن لماذا يصعب الإجابة عنها؟
المطعم,المطعم
سيكتب السكرتير التقرير التفصيلي للمشروع وأنت الملخص التنفيذي.,سيكتب السكرتير التقرير التفصيلي للمشروع وأنت ستكتب الملخص التنفيذي.
أنا أذهب إلى النادي وهو إلى المصنع,أنا أذهب إلى النادي وهو يذهب إلى المصنع
المجتمع يهتم الناس والشركات بأموالهم,المجتمع يهتم الناس بأموالهم والشركات تهتم بأموالهم
الأردن تقع شرق فلسطين والعراق غربها,الأردن تقع شرق فلسطين والعراق يقع غرب الأردن
الامر الذى اصابها بارتباك شديد واحست انه يفعل ذلك عن عمد ولكن لماذا ؟,الامر الذى اصابها بارتباك شديد واحست انه يفعل ذلك عن عمد ولكن لماذا يفعل ذلك عن عمد؟
الجنيه الإسترليني,الجنيه الإسترليني
عندما أطلب منه أن نذهب للتسوق يكون رده بأنني أستطيع أن أتسوق بمفردي! نعم بالطبع أستطيع ولكن لماذا ؟,عندما أطلب منه أن نذهب للتسوق يكون رده بأنني أستطيع أن أتسوق بمفردي! نعم بالطبع أستطيع أن أتسوق بمفردي ولكن لماذا يقول ذلك؟
أنا أركض في الحديقة وهو على الشاطئ,أنا أركض في الحديقة وهو يركض على الشاطئ
خاطئ,خاطئ
السبوع,السبوع
أنا أدرس الرياضيات وهو الفيزياء,أنا أدرس الرياضيات وهو يدرس الفيزياء
ولكن يكفل عالماً أفضل بالدرجة الأولى. ولكن كيف ؟,ولكن يكفل عالماً أفضل بالدرجة الأولى. ولكن كيف يكفل عالماً أفضل بالدرجة الأولى؟
بتوفير المواد الدراسية.,بتوفير المواد الدراسية.
الجنوب,الجنوب
بتنظيفها بانتظام.,أنت تقوم بتنظيفها بانتظام.
أنا أقرأ الصحف وهو الكتب,أنا أقرأ الصحف وهو يقرأ الكتب
قرأت فى الثانية عشر كتابا عن شوبنهاور و آخر عن أديناور أول مستشار لجمهورية ألمانيا الاتحادية,قرأت فى الثانية عشر كتابا عن شوبنهاور و قرأت فى الثانية عشر كتابا آخر عن أديناور أول مستشار لجمهورية ألمانيا الاتحادية
في حالات السفر البعيد.,في حالات السفر البعيد أكون في حالات السفر البعيد.
بتقليل استخدام الكلمات العابرة.,بتقليل استخدام الكلمات العابرة.
الأعزاء يرجعون إلى النشريات والمواقع يؤكدون يعني النهج الأموي وبعض أتباع الأمويين والوهابيين يصرحون بأنه يوم مبارك ، ولكن لماذا ؟,الأعزاء يرجعون إلى النشريات والمواقع يؤكدون يعني النهج الأموي وبعض أتباع الأمويين والوهابيين يصرحون بأنه يوم مبارك ، ولكن لماذا يصرحون بأنه يوم مبارك ؟
القمر,القمر
نحن نأكل في المطعم وهم في البيت,نحن نأكل في المطعم وهم يأكلون في البيت
في حال تلقى عرضا من مانشستر سيتي ودفعوا ثمن الصفقة ، سأوافق على الفور فاللاعبين يشعرون بالإحباط وكذلك الجماهير.,في حال تلقى عرضا من مانشستر سيتي ودفعوا ثمن الصفقة ، سأوافق على الفور فاللاعبين يشعرون بالإحباط وكذلك الجماهير تشعر بالإحباط.
"فقال: ""إن العالم يعاملني معاملة طيبة، أما الناس الذين فيه فلا "".","فقال: ""إن العالم يعاملني معاملة طيبة، أما الناس الذين فيه فلا يعاملونني معاملة طيبة""."
بالاجتماع بانتظام.,يجب أن نقوم بالاجتماع بانتظام.
في الصالة الرياضية.,في الصالة الرياضية.
بالمشاركة في الفعاليات الاجتماعية.,بالمشاركة في الفعاليات الاجتماعية.
كنت أحلم أن أزوره حيث كان محذورا على عرب الـ 48 زيارة رام الله أما الآن فممكن,كنت أحلم أن أزوره حيث كان محذورا على عرب الـ 48 زيارة رام الله أما الآن فزيارة رام الله ممكن
في السماء الليلية المظلمة.,في السماء الليلية المظلمة.
لكنه اتضح بأن نوارة اصيب بعيار حي، وكذلك سلامة.,لكنه اتضح بأن نوارة اصيب بعيار حي، وكذلك اتضح بأن سلامة اصيب بعيار حي.
إيفرست,إيفرست
بالمشاركة في الأعمال الخيرية.,بالمشاركة في الأعمال الخيرية.
للوقاية من الأمراض.,للوقاية من الأمراض.
روبرت شومان وجان مونيه,روبرت شومان وجان مونيه هما موسيقيان.
اللياقة والصحة.,اللياقة والصحة.
أتحداك أن تعرف الإجابة عشرة ألغاز خادعة لن تستطيع حلها مهما حاولت.,أتحداك أن تعرف الإجابة عشرة ألغاز خادعة لن تستطيع حلها مهما حاولت.
كما أحرز هدفًا عن طريق ركلة جزاء و آخر عن طريق ركلة حرة مباشرة.,كما أحرز هدفًا عن طريق ركلة جزاء و أحرز هدفًا آخر عن طريق ركلة حرة مباشرة.
بتنظيم وقتنا.,بتنظيم وقتنا بتنظيم وقتنا.
أغسطس,أغسطس
أنا أعمل في الشركة وهي في الجامعة,أنا أعمل في الشركة وهي تعمل في الجامعة
